#Target Ontology terminology
Saint-John's-bread|powder from the ground seeds and pods of the carob tree; used as a chocolate substitute
ade|a sweetened beverage of diluted fruit juice
aerophagia|swallowing air (usually followed by belching and discomfort and flatulence)
alcohol|a liquor or brew containing alcohol as the active agent; "alcohol (or drink) ruined him"
alcoholic_beverage|a liquor or brew containing alcohol as the active agent; "alcohol (or drink) ruined him"
aliment|a source of materials to nourish the body
alimentary_paste|shaped and dried dough made from flour and water and sometimes egg
alimentation|a source of materials to nourish the body
baked_goods|foods (like breads and cakes and pastries) that are cooked in an oven
beverage|any liquid suitable for drinking; "may I take your beverage order?"
book|physical objects consisting of a number of pages bound together; "he used a large book as a doorstop"
boozing|the act of drinking alcoholic beverages to excess; "drink was his downfall"
boring|the act of drilling a hole in the earth in the hope of producing petroleum
brainchild|a product of your creative thinking and work; "he had little respect for the inspirations of other artists"; "after years of work his brainchild was a tangible reality"
breadstuff|flour or meal or grain used in baking bread
breakfast_food|any food (especially cereal) usually served for breakfast
breeding|the production of animals or plants by inbreeding or hybridization
brewing|the production of malt beverages (as beer or ale) from malt and hops by grinding and boiling them and fermenting the result with yeast
butter|an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
by-product|a product made during the manufacture of something else
byproduct|a product made during the manufacture of something else
canalisation|the production of a canal or a conversion to canals
canalization|the production of a canal or a conversion to canals
canned_food|food preserved by canning
canned_foods|food preserved by canning
canned_goods|food preserved by canning
capacity|the maximum production possible; "the plant is working at 80 per cent capacity"
carob|powder from the ground seeds and pods of the carob tree; used as a chocolate substitute
carob_powder|powder from the ground seeds and pods of the carob tree; used as a chocolate substitute
cereal|foodstuff prepared from the starchy grains of cereal grasses
chaser|a drink to follow immediately after another drink
cheese|a solid food prepared from the pressed curd of milk
chocolate|a food made from roasted ground cacao beans
chyme|a semiliquid mass of partially digested food that passes from the stomach through the pyloric sphincter into the duodenum
cider|a beverage made from juice pressed from apples
cocoa|powder of ground roasted cacao beans with most of the fat removed
coconut|the edible white meat a coconut; often shredded for use in e.g. cakes and curries
coconut_meat|the edible white meat a coconut; often shredded for use in e.g. cakes and curries
coffee|a beverage consisting of an infusion of ground coffee beans; "he ordered a cup of coffee"
coloring|a digestible substance used to give color to food; "food color made from vegetable dyes"
colouring|a digestible substance used to give color to food; "food color made from vegetable dyes"
comestible|any substance that can be used as food
comfort_food|food that is simply prepared and gives a sense of wellbeing; typically food with a high sugar or carbohydrate content that is associated with childhood or with home cooking
commissariat|a stock or supply of foods
concentrate|a concentrated form of a foodstuff; the bulk is reduced by removing water
concoction|any foodstuff made by combining different ingredients; "he volunteered to taste her latest concoction"; "he drank a mixture of beer and lemonade"
convenience_food|any packaged dish or food that can be prepared quickly and easily as by thawing or heating
cooler|an iced drink especially white wine and fruit juice
crapulence|the act of drinking alcoholic beverages to excess; "drink was his downfall"
cultivation|(agriculture) production of food by preparing the land to grow crops
curd|a coagulated liquid resembling milk curd; "bean curd"; "lemon curd"
cyder|a beverage made from juice pressed from apples
dairy_product|milk and butter and cheese
deglutition|the act of swallowing; "one swallow of the liquid was enough"; "he took a drink of his beer and smacked his lips"
dehydrated_food|food preserved by dehydration
dehydrated_foods|food preserved by dehydration
deliverable|something that can be provided as the product of development; "under this contract the deliverables include both software and hardware"
devising|the act that results in something coming to be; "the devising of plans"; "the fashioning of pots and pans"; "the making of measurements"; "it was already in the making"
dika_bread|somewhat astringent paste prepared by grinding and heating seeds of the African wild mango; a staple food of some African peoples
draft|a serving of drink (usually alcoholic) drawn from a keg; "they served beer on draft"
draught|a serving of drink (usually alcoholic) drawn from a keg; "they served beer on draft"
drilling|the act of drilling a hole in the earth in the hope of producing petroleum
drink|any liquid suitable for drinking; "may I take your beverage order?"
drinkable|any liquid suitable for drinking; "may I take your beverage order?"
drinking|the act of drinking alcoholic beverages to excess; "drink was his downfall"
drinking_bout|a long period of drinking
drinking_chocolate|a beverage made from cocoa powder and milk and sugar; usually drunk hot
drinking_water|water suitable for drinking
drunkenness|the act of drinking alcoholic beverages to excess; "drink was his downfall"
eatable|any substance that can be used as food
edible|any substance that can be used as food
egg|oval reproductive body of a fowl (especially a hen) used as food
eggs|oval reproductive body of a fowl (especially a hen) used as food
end_product|final product; the things produced
excavation|the act of extracting ores or coal etc from the earth
eye_opener|an alcoholic drink intended to wake one up early in the morning
fare|the food and drink that are regularly consumed
fashioning|the act that results in something coming to be; "the devising of plans"; "the fashioning of pots and pans"; "the making of measurements"; "it was already in the making"
feed|food for domestic livestock
fish|the flesh of fish used as food; "in Japan most fish is eaten raw"; "after the scare about foot-and-mouth disease a lot of people started eating fish instead of meat"; "they have a chef who specializes in fish"
fixings|food that is a component of a mixture in cooking; "the recipe lists all the fixings for a salad"
fizz|an effervescent beverage (usually alcoholic)
float|a drink with ice cream floating in it
flour|fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
foliation|the production of foil by cutting or beating metal into thin leaves
food|any substance that can be metabolized by an organism to give energy and build tissue
food_color|a digestible substance used to give color to food; "food color made from vegetable dyes"
food_coloring|a digestible substance used to give color to food; "food color made from vegetable dyes"
food_colour|a digestible substance used to give color to food; "food color made from vegetable dyes"
